Year,Month,TotalJobs,TotalEco,TotalIncomeTax,TotalPermits
2011,11,39499.75,10210000000.00,612450000.00,812
2011,12,21221.08,5234700000.00,226270000.00,564
2012,1,19427.67,5034400000.00,176860000.00,502
2012,2,25791.17,7616100000.00,282790000.00,623
2012,3,35092.25,15030000000.00,381430000.00,1028
2012,4,36018.33,6728000000.00,604400000.00,906
2012,5,42207.42,15530000000.00,860300000.00,884
2012,6,38892.67,15420000000.00,796870000.00,836
2012,7,39453.92,13040000000.00,708080000.00,855
2012,8,48327.75,14140000000.00,638690000.00,1044
2012,9,38196.58,8463200000.00,544440000.00,846
2012,10,50355.33,12530000000.00,725060000.00,1152
2012,11,36786.25,15100000000.00,586490000.00,842
2012,12,35310.5,7972800000.00,591480000.00,765
2013,1,30403.75,13100000000.00,435280000.00,616
2013,2,31529.42,11260000000.00,507790000.00,689
2013,3,34705,7540800000.00,522440000.00,868
2013,4,43598.83,11310000000.00,805690000.00,899
2013,5,43550.33,13170000000.00,929920000.00,875
2013,6,50326.25,13150000000.00,964500000.00,996
2013,7,48728.75,18760000000.00,883080000.00,1015
2013,8,48348.17,13370000000.00,787920000.00,1122
2013,9,59710.83,17560000000.00,1048900000.00,1288
2013,10,67194.08,24190000000.00,1323300000.00,1370
2013,11,60480.42,15140000000.00,1156300000.00,1206
2013,12,40162.25,13390000000.00,815580000.00,776
2014,1,25856.25,7919900000.00,478290000.00,632
2014,2,29365.33,8374300000.00,438320000.00,690
2014,3,33504.33,11920000000.00,415610000.00,920
2014,4,32181.33,11010000000.00,497170000.00,818
2014,5,24811.83,6007700000.00,559440000.00,696
2014,6,44697.08,16090000000.00,985240000.00,973
2014,7,47179.58,13860000000.00,769080000.00,1053
2014,8,61505.08,16430000000.00,862520000.00,1323
2014,9,52192.25,17340000000.00,755500000.00,1165
2014,10,57094.67,14720000000.00,833920000.00,1324
2014,11,42103.67,17180000000.00,751780000.00,1016
2014,12,34067.92,15030000000.00,595680000.00,776
2015,1,26770.75,7025500000.00,327350000.00,717
2015,2,41021.67,15080000000.00,523480000.00,952
2015,3,37742.75,11950000000.00,495320000.00,892
2015,4,35193.33,10190000000.00,548060000.00,719
2015,5,38065.25,21770000000.00,789450000.00,744
2015,6,43532.5,9010800000.00,973650000.00,925
2015,7,42846.83,10690000000.00,861680000.00,923
